Date,Time,Latitude,Longitude,Wind (km/h),Pressure (mb),Storm Type,Category,Name
Sep.09,21:00 GMT,23.4,-80.5,205,933,Hurricane,3,Irma
Sep.09,22:00 GMT,23.4,-80.7,205,933,Hurricane,3,Irma
Sep.09,23:00 GMT,23.4,-80.8,205,932,Hurricane,3,Irma
Sep.10,00:00 GMT,23.3,-80.8,195,932,Hurricane,3,Irma
Sep.10,01:00 GMT,23.4,-80.9,205,932,Hurricane,3,Irma
Sep.10,02:00 GMT,23.5,-81,195,933,Hurricane,3,Irma
Sep.10,03:00 GMT,23.5,-81,195,933,Hurricane,3,Irma
Sep.10,04:00 GMT,23.6,-81.1,195,932,Hurricane,3,Irma
Sep.10,05:00 GMT,23.7,-81.2,195,931,Hurricane,3,Irma
Sep.10,06:00 GMT,23.7,-81.3,215,931,Hurricane,4,Irma
Sep.10,07:00 GMT,23.9,-81.3,215,930,Hurricane,4,Irma
Sep.10,08:00 GMT,23.9,-81.4,215,928,Hurricane,4,Irma
Sep.10,09:00 GMT,24.1,-81.5,215,928,Hurricane,4,Irma
Sep.10,10:00 GMT,24.2,-81.4,215,929,Hurricane,4,Irma
Sep.10,11:00 GMT,24.4,-81.5,215,929,Hurricane,4,Irma
Sep.10,12:00 GMT,24.5,-81.5,215,929,Hurricane,4,Irma
Sep.10,13:00 GMT,24.6,-81.5,215,929,Hurricane,4,Irma
Sep.10,13:10 GMT,24.7,-81.5,215,929,Hurricane,4,Irma
Sep.10,14:00 GMT,24.8,-81.5,215,929,Hurricane,4,Irma
Sep.10,15:00 GMT,25,-81.5,215,933,Hurricane,4,Irma
Sep.10,15:10 GMT,25,-81.5,215,933,Hurricane,4,Irma
Sep.10,16:00 GMT,25.2,-81.6,215,933,Hurricane,4,Irma
Sep.10,17:00 GMT,25.4,-81.7,215,933,Hurricane,4,Irma
Sep.10,18:00 GMT,25.6,-81.8,195,936,Hurricane,3,Irma
Sep.10,19:00 GMT,25.7,-81.8,195,936,Hurricane,3,Irma
Sep.10,19:35 GMT,25.9,-81.7,185,940,Hurricane,3,Irma
Sep.10,20:00 GMT,26,-81.7,185,940,Hurricane,3,Irma
Sep.10,21:00 GMT,26.2,-81.8,175,938,Hurricane,2,Irma
Sep.10,22:00 GMT,26.3,-81.7,175,938,Hurricane,2,Irma
Sep.10,23:00 GMT,26.6,-81.7,175,940,Hurricane,2,
Sep.11,00:00 GMT,26.7,-81.7,165,942,Hurricane,2,
Sep.11,01:00 GMT,27.1,-81.8,165,942,Hurricane,2,
Sep.11,02:00 GMT,27.3,-81.9,165,948,Hurricane,2,
Sep.11,03:00 GMT,27.5,-81.9,155,952,Hurricane,2,
Sep.11,04:00 GMT,27.7,-81.9,155,952,Hurricane,2,
Sep.11,05:00 GMT,27.9,-82.1,155,952,Hurricane,2,
Sep.11,06:00 GMT,28.2,-82.2,140,960,Hurricane,1,
Sep.11,09:00 GMT,28.9,-82.6,120,965,Hurricane,1,
Sep.11,12:00 GMT,29.5,-82.9,110,970,Tropical Storm,-,
Sep.11,15:00 GMT,30.3,-83.1,100,975,Tropical Storm,-,
Sep.11,18:00 GMT,30.8,-83.6,95,980,Tropical Storm,-,
Sep.11,21:00 GMT,31.5,-84,85,985,Tropical Storm,-,
Sep.12,00:00 GMT,31.9,-84.4,75,986,Tropical Storm,-,
Sep.12,03:00 GMT,32.4,-84.9,55,988,Tropical Depression,-,
Sep.12,09:00 GMT,33,-85.2,35,998,Post-Tropical Cyclone,-,
Sep.12,15:00 GMT,34.2,-87,20,1003,Post-Tropical Cyclone,-,
Sep.12,21:00 GMT,35.1,-88.2,20,1004,Post-Tropical Cyclone,-,
