Institute,City,Latitude,Longitude,Link
DWI - Leibniz Institute for Interactive Materials,Aachen,50.777072,6.049717,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/dwi/
Leibniz Institute for Educational Trajectories (LIfBi),Bamberg,49.891308,10.89811,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/lifbi/
Leibniz Institute for Crystal Growth (IKZ),Berlin,52.431692,13.52693,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/leibniz-institute-for-crystal-growth-ikz-berlin/
Leibniz Institute for Zoo and Wildlife Research (IZW),Berlin,52.505931,13.521459,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/izw/
Leibniz-Institute of Freshwater Ecology and Inland Fisheries (IGB),Berlin,52.448561,13.648739,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/igb/
Leibniz-Zentrum Moderner Orient (ZMO),Berlin,52.428213,13.202309,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/leibniz-zentrum-moderner-orient-zmo-berlin/
Max-Born-Institute for Nonlinear Optics and Short Pulse Spectroscopy (MBI),Berlin,52.43137,13.525677,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/mbi/
Museum fur Naturkunde - Leibniz Institute for Research on Evolution and Biodiversity (MfN),Berlin,52.53056,13.379154,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/mfn/
Paul Drude Institute for Solid State Electronics (PDI),Berlin,52.513029,13.395708,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/pdi/
"Ferdinand-Braun-Institut, Leibniz-Institut fur Hochstfrequenztechnik (FBH)",Berlin,52.428622,13.534393,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/fbh/
German Institute for Economic Research Berlin (DIW),Berlin,52.512151,13.388603,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/diw/
German Rheumatism Research Centre Berlin (DRFZ),Berlin,52.524962,13.375562,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/drfz/
Institute of Contemporary History Munich - Berlin (IfZ),Berlin,52.432137,13.296216,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/ifz/
Leibniz-Institut fur Analytische Wissenschaften - ISAS - e.V. (ISAS),Dortmund,51.490673,7.46177,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/isas/
Leibniz-Institut fur Molekulare Pharmakologie (FMP),Berlin,52.624464,13.503683,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/leibniz-institut-fuer-molekulare-pharmakologie-fmp-berlin/
Weierstrass Institute for Applied Analysis and Stochastics (WIAS),Berlin,52.512525,13.396041,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/wias/
WZB Berlin Social Science Center,Berlin,52.506377,13.365044,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/wzb/
Leibniz-Centre General Linguistics Berlin (ZAS),Berlin,52.508761,13.395728,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/leibniz-centre-general-linguistics-berlin-zas/
Leibniz-Gemeinschaft,Berlin,52.530668,13.382377,
Deutsches Bergbau-Museum Bochum - Leibniz-Forschungsmuseum fur Georessourcen (DBM),Bochum,51.488923,7.217417,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/dbm/
Research Museum Alexander Koenig - Leibniz Institute for Animal Biodiversity (ZFMK),Bonn,50.72214,7.113512,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/zfmk/
German Institute for Adult Education - Leibniz Centre for Lifelong Learning (DIE),Bonn,50.704232,7.138452,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/die/
Research Center Borstel - Leibniz-Center for Medecine and Biosciences (FZB),Borstel,53.821226,10.193381,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/fzb/
Leibniz-Institute DSMZ-German Collection of Microorganisms and Cell Cultures,Braunschweig,52.21218,10.531274,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/dsmz/
Georg Eckert Institute for International Textbook Research (GEI),Braunschweig,52.268247,10.511,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/gei/
Leibniz Centre for Tropical Marine Research (ZMT),Bremen,53.108014,8.845948,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/zmt/
Leibniz Institute for Prevention Research and Epidemiology (BIPS),Bremen,53.10009,8.858788,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/bips/
Deutsches Schiffahrtsmuseum - National Maritime Museum (DSM),Bremerhaven,53.539976,8.577378,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/dsm/
Leibniz Association EU Office,Brussels,50.836993,4.370396,
Schloss Dagstuhl - Leibniz Center for Informatics (LZI),Dagstuhl,49.530621,6.898655,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/lzi/
Leibniz Research Center for Working Environment and Human Factors (IfADo),Dortmund,51.489939,7.458108,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/ifado/
Leibniz-Institut fur Analytische Wissenschaften - ISAS - e.V. (ISAS) Dortmund,Dortmund,51.490833,7.462028,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/isas/
Leibniz Institute of Ecological Urban And Regional Development (IOER),Dresden,51.03126,13.748115,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/ioer/
Leibniz Institute for Solid State and Materials Research Dresden (IFW),Dresden,51.026085,13.724933,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/leibniz-institute-for-solid-state-and-materials-research-dresden-ifw/
Leibniz Institute of Polymer Research Dresden (IPF),Dresden,51.041847,13.723667,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/ipf/
Leibniz Institute for Farm Animal Biology (FBN),Dummerstorf,54.012991,12.227831,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/fbn/
German Diabetes Center Leibniz Institute for Diabetes Research at Heinrich Heine University Dusseldorf (DDZ),Dusseldorf,51.2048,6.787343,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/ddz/
IUF - Leibniz Research Institute for Environmental Medicine,Dusseldorf,51.20534,6.786542,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/iuf/
Leibniz Institute for Research on Society and Space (IRS),Erkner,52.42759,13.756284,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/irs/
RWI - Leibniz-Institut fur Wirtschaftsforschung,Essen,52.528886,13.379866,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/rwi/
German Institute for International Educational Research (DIPF),Frankfurt am Main,50.122533,8.638363,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/dipf/
Senckenberg Gesellschaft fur Naturforschung (SGN),Frankfurt am Main,50.117567,8.651723,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/sgn/
Innovations for High Performance Microelectronics / Institut fur innovative Mikroelektronik (IHP),Frankfurt an der Oder,52.317694,14.492925,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/ihp/
Peace Research Institute Frankfurt (PRIF),Frankfurt am Main,50.105535,8.664604,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/prif/
Kiepenheuer-Institut fur Sonnenphysik (KIS),Freiburg,47.998553,7.861284,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/kis/
Leibniz Institute for Food Systems Biology at the Technical University of Munich (LSB),Freising,48.398094,11.711164,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/lsb/
Leibniz Institute of Plant Genetics and Crop Plant Research (IPK),Gatersleben,51.824637,11.279189,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/ipk/
German Primate Center - Leibniz Institute for Primate Research (DPZ),Goettingen,51.56095,9.952809,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/dpz/
Leibniz Institute for Plasma Science and Technology (INP),Greifswald,54.091702,13.401901,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/inp/
Leibniz Institute of Vegetable and Ornamental Crops (IGZ),Grossbeeren,52.349399,13.308392,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/igz/
Leibniz Institute of Vegetable and Ornamental Crops (IGZ),Erfurt,51.03671,10.985574,
Leibniz Institute of Agricultural Development in Transition Economies (IAMO),Halle,51.494568,11.938053,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/iamo/
Leibniz Institute of Plant Biochemistry (IPB),Halle,51.495857,11.943836,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/ipb/
Halle Institute for Economic Research (IWH),Halle,51.481067,11.971832,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/iwh/
Bernhard Nocht Institute for Tropical Medicine (BNITM),Hamburg,53.546739,9.964954,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/bnitm/
GIGA German Institute of Global and Area Studies / Leibniz-Institut fur Globale und Regionale Studien,Hamburg,53.557123,9.992548,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/giga/
Heinrich Pette Institute - Leibniz Institute for Experimental Virology (HPI),Hamburg,53.593372,9.973089,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/hpi/
Academy for Spatial Research and Planning (ARL),Hannover,52.379861,9.754436,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/arl/
German National Library of Science and Technology _ Leibniz Information Centre for Science and Technology (TIB),Hannover,52.381495,9.720074,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/tib/
Leibniz Institute for Applied Geophysics (LIAG),Hannover,52.404736,9.822571,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/liag/
Leibniz Institute for Natural Product Research and Infection Biology - Hans Kn_ll Institute (HKI),Jena,50.908917,11.572809,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/hki/
Leibniz Institute on Aging - Fritz Lipmann Institute (FLI),Jena,50.908459,11.571479,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/fli/
Leibniz Institute of Photonic Technology,Jena,50.909111,11.566757,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/ipht/
FIZ Karlsruhe - Leibniz Institute for Information Infrastructure (FIZ KA),Karlsruhe,49.091706,8.428374,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/fiz-ka/
Leibniz Institute for Science and Mathematics Education (IPN),Kiel,54.340364,10.117969,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/ipn/
German National Library of Economics - Leibniz Information Centre for Economics (ZBW),Kiel,54.338411,10.155919,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/zbw/
Institute for the World Economy (IfW),Kiel,54.338868,10.156248,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/ifw/
Leibniz Institute of Atmospheric Physics at the Rostock University (IAP),Kuhlungsborn,54.116914,11.77203,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/iap/
Leibniz Institute for Regional Geography (IFL),Leipzig,51.346521,12.471616,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/ifl/
Leibniz Institute for the History and Culture of Eastern Europe (GWZO),Leipzig,51.34034,12.377343,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/leibniz-institute-for-the-history-and-culture-of-eastern-europe-gwzo-leipzig/
Leibniz Institute for Tropospheric Research (TROPOS),Leipzig,51.352485,12.434571,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/tropos/
Leibniz Institute of Surface Modification (IOM),Leipzig,51.351576,12.431812,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/iom/
Leibniz Institute for Neurobiology (LIN),Magdeburg,52.101939,11.61168,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/lin/
Leibniz Institute of European History (IEG),Mainz,50.000173,8.271528,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/ieg/
R_misch-Germanisches Zentralmuseum (RGZM),Mainz,50.006183,8.2701,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/rgzm/
Centre for European Economic Research (ZEW),Mannheim,49.481952,8.465782,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/zew/
Institute for the German Language (IDS),Mannheim,49.488288,8.471785,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/ids/
Leibniz Institute for the Social Sciences (GESIS),Mannheim,49.485676,8.462801,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/gesis/
Herder Institute for Historical Research on East Central Europe - Institute of the Leibniz Association (HI),Marburg,50.809317,8.761417,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/hi/
Leibniz Centre for Agricultural Landscape Research (ZALF),Muncheberg,52.516061,14.114813,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/zalf/
Deutsches Museum (DM),Munchen,48.129821,11.583452,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/dm/
Ifo Institute - Leibniz Institute for Economic Research at the University of Munich e. V. (ifo),Munchen,48.152919,11.60517,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/ifo/
Germanisches Nationalmuseum (GNM),Nurnberg,49.448242,11.075458,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/gnm/
Mathematisches Forschungsinstitut Oberwolfach (MFO),Oberwolfach,48.34557,8.235881,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/mfo/
Leibniz Institute for Agricultural Engineering and Bioeconomy (ATB),Potsdam,52.43828,13.012538,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/atb/
Centre for Contemporary History Potsdam (ZZF),Potsdam,52.395865,13.057862,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/zzf/
Leibniz Institute for Astrophysics Potsdam (AIP),Potsdam,52.403978,13.102017,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/aip/
Potsdam Institute for Climate Impact Research (PIK),Potsdam,52.380631,13.064191,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/pik/
German Institute of Human Nutrition (DIfE),Potsdam Rehbrucke,52.34842,13.105276,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/dife/
Leibniz Institute for East and Southeast European Studies (IOS),Regensburg,49.014986,12.102574,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/leibniz-institute-for-east-and-southeast-european-studies-ios-regensburg/
Leibniz Institute for Baltic Sea Research Warnemunde (IOW),Rostock,54.179842,12.081363,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/iow/
Leibniz Institute for Catalysis e. V. at the University of Rostock (LIKAT),Rostock,54.078387,12.111684,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/likat/
INM - Leibniz-Institute for New Materials (INM),Saarbrucken,49.256732,7.040192,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/inm/
Leibniz Institute for Psychology Information (ZPID),Trier,49.747009,6.686845,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/zpid/
Leibniz-Institut fur Wissensmedien (IWM),Tubingen,48.524379,9.054751,https://www.leibniz-gemeinschaft.de/en/institutes-museums/einrichtungen/iwm/
